,0,1,2,3,4,5,6,7,8
HST-KLS0883-2892509,0.005,0.0044,0.9582,0.006,0.0052,0.0048,0.0066,0.0044,0.0054
HST-KLS0923-2892400,0.007,0.0018,0.954,0.0082,0.005,0.007,0.0054,0.0056,0.006
HST-KLS0938-2892388,0.0068,0.0014,0.9668,0.0058,0.0044,0.0054,0.0014,0.0022,0.0058
HST-KLS0983-2892406,0.0054,0.0012,0.9668,0.0046,0.0044,0.0058,0.0018,0.004,0.006
HST-KLS0986-2892407,0.0042,0.0014,0.963,0.0042,0.0044,0.0038,0.008,0.0068,0.0042
HST-KLS1273-2892431,0.0046,0.0012,0.9744,0.0036,0.003,0.0044,0.0032,0.0024,0.0032
HST-KLS1274-2892410,0.0058,0.0014,0.963,0.0058,0.0038,0.0062,0.0048,0.0028,0.0064
HST-VU116-2892391,0.0016,0.0428,0.9428,0.001,0.0062,0.0014,0.0014,0.001,0.0018
HST-KLS0559-2892377,0.0006,0.003,0.9658,0.0006,0.0006,0.0008,0.0272,0.0004,0.001
HST-KLS1173-2892444,0.0076,0.0018,0.9606,0.0072,0.005,0.006,0.0018,0.004,0.006
HST-KLS1182-2892449,0.0054,0.0024,0.9594,0.0054,0.005,0.006,0.0056,0.0038,0.007
HST-KLS1200-2892434,0.0008,0.0038,0.9575,0.0006,0.0008,0.001,0.0341,0.0004,0.001
HST-KLS1206-3593330,0.006,0.002,0.9652,0.005,0.0046,0.0052,0.0018,0.0048,0.0054
HST-KLS1227-2892412,0.006,0.0044,0.9608,0.0068,0.0052,0.0058,0.0018,0.0034,0.0058
HST-KLS1515-3593385,0.0056,0.001,0.9654,0.006,0.0048,0.006,0.0018,0.0036,0.0058
HST-KLS1517-3593355,0.007,0.0014,0.9554,0.0074,0.006,0.0074,0.0026,0.0056,0.0072
HST-KLS1528-3593321,0.006,0.0018,0.9558,0.008,0.0058,0.0074,0.0024,0.0046,0.0082
HST-KLS1541-3593313,0.006,0.0016,0.9652,0.0048,0.005,0.0058,0.0012,0.0032,0.0072
HST-KLS1544-3593344,0.0038,0.008,0.9642,0.0038,0.0036,0.004,0.0024,0.0064,0.0038
HST-KLS1556-3593324,0.005,0.0022,0.9642,0.0058,0.0044,0.0056,0.004,0.0024,0.0064
HST-SS170814-01-2562208,0.0122,0.0014,0.9339,0.0136,0.0094,0.0132,0.0024,0.0042,0.0096
HST-SS170820-02-2892469,0.004,0.0014,0.968,0.004,0.0044,0.0036,0.007,0.0038,0.0038
