,0,1,2,3,4
ALA-SS171106-02-2892479,0.9941,0.001,0.0004,0.0011,0.0034
ALA-SS171106-03-2892404,0.9933,0.0009,0.001,0.0013,0.0035
ALA-VU51-2892500,0.9913,0.001,0.0014,0.0021,0.0042
ALA-VU53-2892376,0.9882,0.0084,0.0009,0.0011,0.0014
ALA-VU62-2892417,0.9535,0.007,0.0011,0.0206,0.0178
ALA-KLS0327-2892561,0.0218,0.0236,0.007,0.0102,0.9374
APO-BD304-2892487,0.9785,0.0152,0.0009,0.0024,0.003
APO-BD320-2892516,0.9924,0.0012,0.0011,0.0015,0.0038
APO-BD325-2892538,0.994,0.001,0.001,0.0012,0.0028
APO-BD326-2892550,0.9917,0.001,0.0008,0.0011,0.0054
APO-BD330-2892535,0.9913,0.0037,0.0021,0.001,0.0019
APO-BD331-2892519,0.9952,0.0012,0.0014,0.001,0.0012
APO-BD337-2892483,0.992,0.0041,0.001,0.001,0.0019
APO-BD338-2892540,0.9946,0.0011,0.001,0.001,0.0023
APO-BD339-2892520,0.994,0.0008,0.001,0.001,0.0032
APO-BD342-2892423,0.9903,0.0045,0.0011,0.0021,0.002
