,0,1,2,3,4,5,6,7,8,9
ALA-Al286-3991295,0.0065,0.0121,0.0046,0.0039,0.0065,0.0119,0.0014,0.0063,0.0034,0.9434
ALA-Al287-3991296,0.0022,0.0029,0.0032,0.0017,0.0023,0.0021,0.001,0.0012,0.0015,0.9819
ALA-Al288-3991297,0.004,0.003,0.0088,0.0071,0.003,0.0047,0.0019,0.001,0.0019,0.9646
ALA-Al290-3991298,0.0062,0.0058,0.0027,0.0035,0.0034,0.0073,0.001,0.0009,0.0016,0.9676
ALA-Al291-3991299,0.0209,0.0041,0.0157,0.0074,0.0083,0.0348,0.0022,0.0047,0.0111,0.8908
ALA-Al292-3991300,0.0038,0.0061,0.0034,0.0044,0.0048,0.0027,0.0021,0.001,0.001,0.9707
ALA-Al293-3991301,0.0018,0.0014,0.0023,0.0028,0.0016,0.0021,0.0009,0.0015,0.001,0.9846
ALA-Al295-3991302,0.0034,0.0023,0.0019,0.0044,0.0024,0.0023,0.0098,0.003,0.007,0.9635
ALA-Al296-3991303,0.0073,0.0078,0.0024,0.0052,0.0134,0.0055,0.0047,0.001,0.0011,0.9516
ALA-Al297-3991304,0.0057,0.002,0.0034,0.0029,0.0102,0.002,0.0014,0.0277,0.0066,0.9381
ALA-Al299-3991305,0.0114,0.0188,0.0061,0.0655,0.0103,0.075,0.0011,0.0012,0.0037,0.8069
ALA-Al300-3991306,0.0031,0.0018,0.0032,0.0021,0.0018,0.0025,0.0079,0.0025,0.0011,0.974
ALA-Al301-3991307,0.0265,0.0166,0.0033,0.0361,0.0152,0.0251,0.0018,0.0017,0.001,0.8727
ALA-Al302-3991308,0.002,0.0017,0.0017,0.0061,0.0014,0.0015,0.002,0.0008,0.001,0.9818
ALA-Al303-3991309,0.01,0.0071,0.0038,0.0071,0.0039,0.01,0.0101,0.0009,0.0014,0.9457
ALA-Al304-3991310,0.0036,0.0032,0.0088,0.0028,0.0019,0.0031,0.0008,0.0014,0.0033,0.9711
ALA-Al305-3991311,0.0019,0.0017,0.0011,0.0018,0.0019,0.0015,0.0009,0.0005,0.001,0.9877
ALA-Al306-3991312,0.0184,0.073,0.0148,0.0201,0.0075,0.0121,0.001,0.0012,0.0014,0.8505
ALA-Al307-3991313,0.0044,0.0035,0.0021,0.0027,0.0029,0.0025,0.0034,0.0045,0.002,0.972
ALA-Al308-3991314,0.0016,0.0016,0.0075,0.0017,0.0015,0.0023,0.0022,0.001,0.001,0.9796
ALA-Al318-3991315,0.0039,0.0036,0.0025,0.0028,0.0023,0.0041,0.0011,0.0019,0.0166,0.9612
ALA-Al319-3991316,0.004,0.0021,0.0044,0.005,0.0031,0.0113,0.001,0.0008,0.0011,0.9672
ALA-Al320-3991317,0.008,0.0436,0.0071,0.0042,0.0051,0.0035,0.0048,0.001,0.0081,0.9146
ALA-Al321-3991414,0.0017,0.0022,0.0077,0.0219,0.0018,0.0012,0.001,0.001,0.0013,0.9602
ALA-Al324-3991415,0.0023,0.0039,0.0025,0.0033,0.0031,0.0033,0.001,0.0026,0.0011,0.9769
ALA-Al325-3991416,0.007,0.0049,0.0088,0.0043,0.0137,0.0267,0.001,0.0015,0.0573,0.8749
ALA-Al326-3991417,0.0021,0.0018,0.0025,0.0031,0.0052,0.0731,0.0012,0.0001,0.0051,0.9058
ALA-Al327-3991418,0.0154,0.0024,0.0032,0.004,0.0077,0.0566,0.0015,0.0006,0.0032,0.9054
ALA-Al329-3991419,0.0019,0.0012,0.0155,0.0024,0.0047,0.0676,0.0025,0.0009,0.0021,0.9012
ALA-Al331-3991420,0.0023,0.0014,0.0014,0.0056,0.0037,0.0458,0.0008,0.0007,0.0014,0.9369
ALA-Al333-3991421,0.0023,0.0013,0.0022,0.0022,0.005,0.0025,0.0009,0.0013,0.0031,0.9792
ALA-Al336-3991422,0.0029,0.0017,0.0024,0.0181,0.0024,0.0016,0.0072,0.0,0.001,0.9627
ALA-Al338-3991423,0.0029,0.0029,0.0021,0.0018,0.0034,0.0031,0.0013,0.0014,0.0013,0.9798
ALA-Al342-3991424,0.0039,0.0039,0.0029,0.0055,0.0029,0.0047,0.0005,0.001,0.0015,0.9732
ALA-Al344-3991425,0.0014,0.001,0.0012,0.0017,0.001,0.0014,0.0423,0.001,0.0025,0.9465
ALA-Al346-3991426,0.002,0.0012,0.0026,0.0013,0.0014,0.0028,0.001,0.0008,0.001,0.9859
ALA-Al4-2562181,0.0173,0.0063,0.0033,0.0059,0.0077,0.0703,0.001,0.0015,0.0025,0.8842
ALA-KLS1140-2892558,0.0618,0.6301,0.1717,0.0385,0.0283,0.0252,0.0008,0.0032,0.0056,0.0348
ALA-KLS1161-2892441,0.0235,0.9194,0.0151,0.0139,0.0052,0.0091,0.0007,0.001,0.0038,0.0083
ALA-KLS1162-2892512,0.1012,0.7516,0.0923,0.0156,0.018,0.0134,0.002,0.001,0.0023,0.0025
ALA-KLS1163-2892427,0.0043,0.9543,0.0054,0.0059,0.0073,0.0073,0.003,0.001,0.0015,0.01
ALA-KLS1165-2892485,0.064,0.6296,0.2089,0.0335,0.0105,0.0434,0.0016,0.0009,0.0047,0.0028
ALA-KLS1166-2892541,0.1596,0.5815,0.0883,0.0384,0.0172,0.0584,0.0012,0.0011,0.0012,0.0531
ALA-KLS1167-2892484,0.0196,0.8986,0.0141,0.0476,0.0063,0.0065,0.0023,0.0008,0.0016,0.0026
ALA-KLS1168-2892413,0.0165,0.7003,0.1643,0.0391,0.0103,0.0135,0.0011,0.001,0.0029,0.0511
ALA-KLS1169-2892448,0.2576,0.5921,0.0751,0.0058,0.0201,0.0224,0.0014,0.0084,0.0029,0.0142
ALA-KLS1170-2892511,0.0178,0.6089,0.0064,0.1886,0.015,0.1453,0.001,0.0022,0.0037,0.011
ALA-KLS1366-3593364,0.2573,0.5875,0.0532,0.0421,0.0245,0.0227,0.0036,0.001,0.0028,0.0052
ALA-KLS1373-3593328,0.1019,0.5386,0.0086,0.0032,0.0535,0.2711,0.0007,0.0086,0.0046,0.0092
ALA-KLS1387-3593387,0.0547,0.6485,0.1845,0.0616,0.0099,0.029,0.0026,0.0014,0.0023,0.0055
ALA-KLS1413-3593365,0.2017,0.5825,0.088,0.0719,0.0261,0.0132,0.0031,0.0006,0.0049,0.0079
ALA-KLS1415-3593359,0.0421,0.5513,0.1044,0.042,0.088,0.1588,0.001,0.0022,0.0053,0.0048
ALA-KLS1661-4013402,0.0649,0.595,0.1214,0.0214,0.1462,0.0412,0.001,0.0019,0.0011,0.0059
ALA-KLS1663-4013404,0.2213,0.6185,0.0245,0.0132,0.0991,0.0146,0.0019,0.001,0.0021,0.0038
ALA-KLS1664-4013405,0.2658,0.6412,0.0119,0.0092,0.0217,0.0413,0.0012,0.0013,0.0033,0.0031
ALA-KLS1682-4013423,0.1391,0.7581,0.005,0.0211,0.0047,0.0597,0.0035,0.0011,0.0054,0.0023
ALA-KLS1690-4013430,0.0159,0.7664,0.1818,0.0095,0.01,0.0087,0.0012,0.0015,0.004,0.001
ALA-VU15-2892510,0.2845,0.6203,0.0412,0.0038,0.0314,0.007,0.0066,0.0023,0.0013,0.0017
ALA-VU20-2892394,0.0119,0.8935,0.0059,0.0077,0.0085,0.0352,0.0035,0.0017,0.0173,0.0148
ALA-VU21-2892380,0.0162,0.8739,0.011,0.0475,0.0221,0.0178,0.0028,0.0035,0.0013,0.0039
ALA-VU33-2892383,0.0614,0.7222,0.0306,0.1254,0.0087,0.0438,0.0019,0.002,0.002,0.002
ALA-VU37-2892482,0.0573,0.6193,0.2455,0.0123,0.0237,0.0294,0.0039,0.0017,0.0049,0.002
ALA-VU47-2892477,0.0948,0.686,0.1657,0.0216,0.0146,0.0092,0.0011,0.0027,0.0028,0.0015
ALA-VU50-2892527,0.0326,0.5542,0.0111,0.2999,0.043,0.0416,0.0008,0.0011,0.0021,0.0136
ALA-KLS0793-2892513,0.0188,0.6346,0.0152,0.0757,0.2254,0.0198,0.0009,0.001,0.0073,0.0013
ALA-KLS0796-2892514,0.0208,0.82,0.0643,0.0038,0.0336,0.0172,0.0018,0.0147,0.0013,0.0225
ALA-KLS0797-2892471,0.0235,0.7852,0.0293,0.0298,0.0885,0.039,0.0005,0.0009,0.0012,0.0022
ALA-KLS0857-2892463,0.08,0.7115,0.0071,0.115,0.0086,0.07,0.001,0.0026,0.0032,0.001
ALA-KLS0871-2892523,0.0184,0.5976,0.0091,0.2513,0.0126,0.1014,0.0026,0.0011,0.0034,0.0025
ALA-KLS0872-2892526,0.0071,0.9496,0.0042,0.0081,0.0196,0.0071,0.001,0.0007,0.001,0.0016
ALA-KLS1444-3593398,0.0872,0.6962,0.0105,0.0141,0.174,0.0046,0.003,0.0022,0.0062,0.002
ALA-KLS1448-3593341,0.0158,0.9079,0.0231,0.0115,0.0049,0.0194,0.0008,0.0119,0.0019,0.0029
ALA-KLS1452-3593342,0.077,0.616,0.0346,0.2329,0.0068,0.0208,0.0014,0.0011,0.0044,0.0049
ALA-KLS1467-3593390,0.0712,0.5921,0.0162,0.2274,0.0176,0.0682,0.0014,0.001,0.0023,0.0026
ALA-KLS1474-3593384,0.1692,0.6579,0.062,0.006,0.0333,0.0568,0.0012,0.001,0.0036,0.0089
ALA-KLS1479-3593389,0.0423,0.7446,0.0151,0.0324,0.016,0.1355,0.0014,0.0014,0.0069,0.0044
ALA-KLS1492-3593391,0.0869,0.5925,0.0162,0.0319,0.2319,0.0302,0.0008,0.001,0.0067,0.0019
APO-KLS1002-2562146,0.0626,0.5973,0.0459,0.0214,0.2588,0.0064,0.002,0.001,0.0011,0.0034
ALA-MAGNT-R36654-2583996,0.0031,0.0057,0.0025,0.0014,0.0037,0.0075,0.0027,0.1914,0.7799,0.0021
ALA-R29880-2892521,0.0069,0.0042,0.0016,0.0035,0.007,0.0026,0.0008,0.2436,0.7261,0.0037
ALA-R36967-2892426,0.0112,0.0014,0.001,0.0012,0.0014,0.0154,0.0009,0.0479,0.9185,0.0011
ALA-R36974-2892437,0.0022,0.0011,0.0027,0.0021,0.07,0.0561,0.0184,0.1243,0.7191,0.0039
ALA-R37003-2892459,0.0046,0.002,0.0017,0.0028,0.0585,0.0039,0.0011,0.2738,0.6481,0.0034
ALA-R37010-2892460,0.0154,0.001,0.0009,0.001,0.0283,0.0026,0.0017,0.3013,0.647,0.0009
ALA-R37025-2892461,0.0035,0.0022,0.0014,0.0019,0.0051,0.002,0.0008,0.2414,0.7398,0.0019
ALA-R37027-2892458,0.0032,0.0046,0.0015,0.0033,0.0049,0.005,0.0014,0.2963,0.6775,0.0023
ALA-R37032-2892401,0.0011,0.001,0.0007,0.001,0.0017,0.0011,0.0005,0.2606,0.7313,0.001
ALA-R37034-2892486,0.0022,0.0016,0.0028,0.0015,0.0093,0.002,0.001,0.2721,0.7042,0.0033
ALA-R37101-2892544,0.0019,0.0015,0.001,0.0013,0.0015,0.0041,0.0031,0.2184,0.7662,0.001
ALA-R37113-2892490,0.0097,0.0097,0.0037,0.0032,0.0419,0.0078,0.0028,0.307,0.612,0.0022
ALA-R37116-2892470,0.0022,0.0013,0.003,0.0014,0.0015,0.0014,0.001,0.3404,0.6455,0.0023
ALA-R37122-2892464,0.1551,0.0013,0.0022,0.0012,0.0019,0.0013,0.0009,0.2511,0.5841,0.001
ALA-R37128-2892424,0.0173,0.0017,0.0035,0.0042,0.012,0.0187,0.001,0.3314,0.6068,0.0034
ALA-R37140-2892462,0.0099,0.0024,0.0016,0.0128,0.0022,0.0071,0.0025,0.1425,0.8142,0.0048
ALA-VU121-2562122,0.2706,0.1361,0.016,0.0339,0.0168,0.0308,0.0017,0.0013,0.0289,0.4638
ALA-VU130-2562201,0.0085,0.0164,0.0021,0.0011,0.0023,0.0032,0.9551,0.0015,0.0087,0.0011
ALA-VU132-2562114,0.0585,0.4158,0.0229,0.157,0.0195,0.0778,0.0009,0.0012,0.0167,0.2297
ALA-NC_2019_217-2117818,0.0001,0.0,0.0,0.0002,0.0,0.0003,0.0002,0.9986,0.0004,0.0002
ALA-NC_2019_247-2117816,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.9997,0.0002,0.0
ALA-NC_Jan2019_208-2562133,0.0002,0.0,0.0,0.0001,0.0001,0.0001,0.0,0.999,0.0005,0.0
ALA-NC_Jan2019_213-2892489,0.0015,0.0009,0.0018,0.0012,0.0795,0.0013,0.0006,0.8497,0.0621,0.0014
ALA-NC_Jan2019_217-2892446,0.0002,0.0,0.0,0.0,0.0002,0.0003,0.0,0.9988,0.0005,0.0
ALA-NC_Jan2019_227-2892537,0.0011,0.0019,0.0011,0.001,0.0787,0.0011,0.0002,0.7966,0.1175,0.0009
ALA-NC_Jan2019_247-2892476,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.9998,0.0001,0.0
ALA-NC_Jan2019_253-3446972,0.0009,0.0009,0.0012,0.0011,0.0613,0.001,0.001,0.9255,0.0062,0.0009
ALA-NC_Jan2019_269-3446978,0.0018,0.0013,0.0013,0.0019,0.08,0.0029,0.002,0.7664,0.1412,0.0012
ALA-NC_Jan2019_271-2892518,0.0011,0.001,0.0013,0.0007,0.0792,0.0008,0.0008,0.8373,0.0772,0.0007
ALA-NC_Jan2019_275-3446981,0.0001,0.0,0.0,0.0,0.0,0.0001,0.0,0.999,0.0008,0.0
ALA-NC_Jan2019_282-2562143,0.0014,0.0024,0.0008,0.0018,0.0903,0.0019,0.0007,0.8253,0.0749,0.0005
ALA-Al376-3991427,0.0037,0.0035,0.0056,0.003,0.0138,0.0041,0.001,0.2925,0.671,0.0018
ALA-Al377-3991428,0.0013,0.0011,0.0009,0.0008,0.0308,0.0013,0.001,0.3416,0.6194,0.0018
ALA-Al378-3991429,0.0017,0.0016,0.0019,0.0014,0.0072,0.0066,0.001,0.3295,0.6479,0.0012
ALA-Al379-3991430,0.0059,0.0057,0.0027,0.0293,0.004,0.0083,0.0105,0.2872,0.6277,0.0187
ALA-KLS0564-R174540-2892378,0.3092,0.5873,0.014,0.0101,0.0051,0.0576,0.0013,0.0018,0.012,0.0016
ALA-KLS1526-3593366,0.1715,0.685,0.0106,0.0287,0.0472,0.0333,0.0099,0.0012,0.0025,0.0102
ALA-KLS1548-3593373,0.0149,0.7576,0.0169,0.0269,0.0587,0.1139,0.0024,0.001,0.0038,0.004
ALA-KLS1549-3593354,0.0996,0.7886,0.026,0.017,0.0038,0.0319,0.0091,0.001,0.0193,0.0037
ALA-KLS1555-3593323,0.0564,0.5417,0.0302,0.0427,0.011,0.3062,0.0012,0.0024,0.0032,0.005
ALA-SS170808-01-2562218,0.1157,0.7362,0.0323,0.036,0.0678,0.0063,0.0018,0.001,0.0014,0.0015
ALA-SS170808-06-2892529,0.1926,0.5947,0.1813,0.0078,0.0056,0.0079,0.0027,0.001,0.0027,0.0037
ALA-SS170809-01-2892375,0.1719,0.6727,0.0104,0.028,0.0792,0.0278,0.0013,0.001,0.0027,0.005
ALA-SS170809-03-2892475,0.0985,0.7682,0.0078,0.1063,0.0039,0.0068,0.0034,0.001,0.0021,0.0021
ALA-SS170810-01-2892386,0.165,0.68,0.0916,0.0161,0.0228,0.0178,0.0018,0.0011,0.0021,0.0017
ALA-SS170813-01-2892422,0.297,0.54,0.0405,0.0553,0.036,0.0166,0.0006,0.001,0.0041,0.0089
ALA-SS170815-01-2892435,0.0107,0.9239,0.0062,0.0061,0.0114,0.0154,0.0207,0.0009,0.0022,0.0025
ALA-SS170815-03-2892473,0.2441,0.6491,0.027,0.0435,0.0184,0.0087,0.001,0.001,0.0021,0.0051
ALA-SS170815-04-2892440,0.0162,0.8153,0.0323,0.0039,0.1104,0.0057,0.001,0.0015,0.0013,0.0124
ALA-SS170816-01-2892493,0.0799,0.7751,0.029,0.0163,0.0404,0.052,0.0038,0.001,0.0014,0.0011
ALA-SS170820-05-2892447,0.0162,0.6095,0.0047,0.2096,0.0063,0.1451,0.0011,0.001,0.0039,0.0026
ALA-SS170822-01-2892494,0.2778,0.5837,0.0231,0.0736,0.0237,0.0095,0.0016,0.0019,0.0019,0.0032
ALA-SS170822-02-2892495,0.2038,0.6,0.0247,0.1312,0.0086,0.0129,0.0119,0.0016,0.0033,0.002
ALA-SS170822-03-2892528,0.2374,0.608,0.067,0.0577,0.0061,0.0143,0.001,0.0009,0.0022,0.0054
ALA-SS171011-02-2892425,0.0085,0.6326,0.017,0.0236,0.0037,0.3073,0.0022,0.0009,0.0017,0.0025
ALA-SS171011-03-2892496,0.1842,0.5629,0.0433,0.1422,0.0136,0.0414,0.0018,0.0013,0.0054,0.004
ALA-SS171018-02-2892517,0.1468,0.5936,0.1001,0.0209,0.0069,0.125,0.0021,0.0008,0.0027,0.0011
ALA-SS171025-01-2892506,0.095,0.5997,0.0138,0.0564,0.1912,0.0293,0.0011,0.0085,0.001,0.004
ALA-SS171104-01-2892432,0.0163,0.7149,0.0154,0.057,0.0375,0.1488,0.0015,0.001,0.0022,0.0054
ALA-SS171105-01-2892472,0.0207,0.6901,0.0427,0.0133,0.1032,0.1189,0.0035,0.001,0.004,0.0026
ALA-SS171106-02-2892479,0.013,0.8568,0.0087,0.0039,0.1063,0.0037,0.0012,0.0004,0.0017,0.0043
ALA-SS171106-03-2892404,0.0511,0.599,0.0154,0.3209,0.004,0.0039,0.0008,0.001,0.0012,0.0027
ALA-VU51-2892500,0.0684,0.79,0.015,0.0098,0.1034,0.0054,0.0009,0.001,0.0021,0.004
ALA-VU53-2892376,0.0669,0.7957,0.0232,0.0761,0.0086,0.0184,0.0082,0.0007,0.0011,0.0011
ALA-VU62-2892417,0.0388,0.8081,0.0736,0.0039,0.0116,0.0296,0.0059,0.0012,0.0155,0.0118
ALA-KLS0327-2892561,0.0608,0.0152,0.018,0.0135,0.0234,0.0236,0.0104,0.0034,0.0039,0.8278
APO-BD304-2892487,0.0184,0.5768,0.0069,0.0192,0.3404,0.0149,0.0178,0.001,0.0025,0.0021
APO-BD320-2892516,0.0217,0.548,0.0158,0.0035,0.0233,0.3808,0.001,0.001,0.0011,0.0039
APO-BD325-2892538,0.0116,0.6231,0.0073,0.0155,0.3278,0.0082,0.0011,0.0009,0.0013,0.0032
APO-BD326-2892550,0.0102,0.6324,0.0082,0.0048,0.3201,0.017,0.001,0.0014,0.0012,0.0037
APO-BD330-2892535,0.0101,0.672,0.0201,0.0271,0.2067,0.0545,0.0041,0.0019,0.0011,0.0024
APO-BD331-2892519,0.0078,0.6107,0.0039,0.003,0.3584,0.0109,0.0012,0.0021,0.001,0.001
APO-BD337-2892483,0.0144,0.5975,0.0062,0.0057,0.3628,0.0055,0.0038,0.0007,0.001,0.0024
APO-BD338-2892540,0.003,0.5989,0.0025,0.0032,0.3821,0.0048,0.0013,0.0008,0.001,0.0024
APO-BD339-2892520,0.0463,0.598,0.0115,0.2185,0.1028,0.0169,0.0007,0.001,0.001,0.0033
APO-BD342-2892423,0.039,0.5974,0.0192,0.0087,0.3023,0.0248,0.0031,0.0013,0.0021,0.0021
