,0,1,2,3
ALA-R37113-2892490,0.6669,0.3134,0.0028,0.0169
ALA-R37116-2892470,0.6529,0.3419,0.0037,0.0015
ALA-R37122-2892464,0.7223,0.2751,0.001,0.0016
ALA-R37128-2892424,0.6682,0.3268,0.0033,0.0017
ALA-R37140-2892462,0.8689,0.1248,0.0037,0.0026
ALA-VU121-2562122,0.0398,0.0014,0.5655,0.3933
ALA-VU130-2562201,0.0441,0.0061,0.3965,0.5533
ALA-VU132-2562114,0.0261,0.0015,0.2784,0.694
ALA-NC_2019_217-2117818,0.0008,0.9992,0.0,0.0
ALA-NC_2019_247-2117816,0.0004,0.9996,0.0,0.0
ALA-NC_Jan2019_208-2562133,0.0007,0.9989,0.0002,0.0002
ALA-NC_Jan2019_213-2892489,0.0696,0.9273,0.002,0.0011
ALA-NC_Jan2019_217-2892446,0.0008,0.999,0.0001,0.0001
ALA-NC_Jan2019_227-2892537,0.1503,0.8466,0.0011,0.002
ALA-NC_Jan2019_247-2892476,0.0001,0.9999,0.0,0.0
ALA-NC_Jan2019_253-3446972,0.0086,0.989,0.0011,0.0013
ALA-NC_Jan2019_269-3446978,0.1742,0.8237,0.001,0.0011
ALA-NC_Jan2019_271-2892518,0.0903,0.9071,0.0014,0.0012
ALA-NC_Jan2019_275-3446981,0.0007,0.9993,0.0,0.0
ALA-NC_Jan2019_282-2562143,0.0877,0.9079,0.0009,0.0035
ALA-Al376-3991427,0.6967,0.2968,0.0022,0.0043
ALA-Al377-3991428,0.6333,0.3641,0.0014,0.0012
ALA-Al378-3991429,0.6542,0.3427,0.0014,0.0017
ALA-Al379-3991430,0.6588,0.2913,0.0409,0.009
ALA-KLS0564-R174540-2892378,0.0245,0.003,0.0022,0.9703
ALA-KLS1526-3593366,0.0045,0.0013,0.0115,0.9827
ALA-KLS1548-3593373,0.0045,0.0011,0.0044,0.99
ALA-KLS1549-3593354,0.0253,0.0011,0.005,0.9686
ALA-KLS1555-3593323,0.0033,0.0017,0.0049,0.9901
ALA-SS170808-01-2562218,0.0015,0.001,0.0017,0.9958
ALA-SS170808-06-2892529,0.0043,0.0009,0.0049,0.9899
ALA-SS170809-01-2892375,0.0029,0.001,0.004,0.9921
ALA-SS170809-03-2892475,0.0026,0.001,0.0028,0.9936
ALA-SS170810-01-2892386,0.0025,0.0016,0.0017,0.9942
ALA-SS170813-01-2892422,0.0046,0.0019,0.011,0.9825
