,0,1,2,3,4
ALA-R29880-2892521,0.0771,0.0035,0.0035,0.2913,0.6246
ALA-R36967-2892426,0.0253,0.0373,0.0333,0.4292,0.475
ALA-R36974-2892437,0.2401,0.0399,0.0403,0.0755,0.6042
ALA-R37003-2892459,0.0186,0.0192,0.02,0.3839,0.5583
ALA-R37010-2892460,0.0119,0.0247,0.0242,0.2976,0.6416
ALA-R37025-2892461,0.1079,0.0191,0.0181,0.1608,0.6941
ALA-R37027-2892458,0.0268,0.0185,0.0181,0.3475,0.5891
ALA-R37032-2892401,0.0912,0.0025,0.0022,0.2579,0.6462
ALA-R37034-2892486,0.0572,0.0051,0.0047,0.3962,0.5368
ALA-R37101-2892544,0.0148,0.0054,0.0056,0.3875,0.5867
ALA-R37113-2892490,0.0234,0.1058,0.0756,0.1378,0.6575
ALA-R37116-2892470,0.0899,0.0072,0.0074,0.3052,0.5903
ALA-R37122-2892464,0.0383,0.04,0.0388,0.2753,0.6076
ALA-R37128-2892424,0.1551,0.0076,0.0075,0.0836,0.7461
ALA-R37140-2892462,0.082,0.0066,0.0063,0.3534,0.5517
ALA-VU121-2562122,0.479,0.0094,0.0092,0.4853,0.0171
ALA-VU130-2562201,0.2972,0.0301,0.0275,0.5725,0.0727
ALA-VU132-2562114,0.2534,0.0093,0.0086,0.6974,0.0313
ALA-NC_2019_217-2117818,0.0025,0.0,0.0,0.0032,0.9943
ALA-NC_2019_247-2117816,0.0017,0.0,0.0,0.002,0.9963
ALA-NC_Jan2019_208-2562133,0.0026,0.0,0.0,0.0035,0.9939
ALA-NC_Jan2019_213-2892489,0.0138,0.0009,0.0009,0.0284,0.956
ALA-NC_Jan2019_217-2892446,0.0024,0.0,0.0,0.0035,0.9941
ALA-NC_Jan2019_227-2892537,0.0171,0.0005,0.0003,0.0641,0.918
ALA-NC_Jan2019_247-2892476,0.0018,0.0,0.0,0.0021,0.9961
ALA-NC_Jan2019_253-3446972,0.0043,0.0275,0.0303,0.0061,0.9318
ALA-NC_Jan2019_269-3446978,0.0081,0.0338,0.0337,0.0176,0.9068
ALA-NC_Jan2019_271-2892518,0.0196,0.0003,0.0003,0.0216,0.9582
ALA-NC_Jan2019_275-3446981,0.0017,0.0142,0.0155,0.002,0.9666
ALA-NC_Jan2019_282-2562143,0.0039,0.0008,0.0009,0.0088,0.9856
ALA-Al376-3991427,0.1411,0.0016,0.0017,0.3121,0.5435
ALA-Al377-3991428,0.1818,0.0042,0.004,0.1302,0.6798
ALA-Al378-3991429,0.1698,0.001,0.0011,0.221,0.607
ALA-Al379-3991430,0.1783,0.0027,0.0029,0.2497,0.5664
ALA-KLS0564-R174540-2892378,0.0259,0.0185,0.0176,0.8971,0.041
ALA-KLS1526-3593366,0.0519,0.0171,0.0177,0.9106,0.0027
ALA-KLS1548-3593373,0.0681,0.0169,0.0163,0.8939,0.0048
ALA-KLS1549-3593354,0.046,0.0177,0.0169,0.9113,0.0081
ALA-KLS1555-3593323,0.0389,0.0141,0.0149,0.9237,0.0084
ALA-SS170808-01-2562218,0.0088,0.0102,0.0098,0.967,0.0042
ALA-SS170808-06-2892529,0.0265,0.0131,0.0139,0.9412,0.0053
ALA-SS170809-01-2892375,0.0164,0.011,0.0109,0.9569,0.0048
ALA-SS170809-03-2892475,0.0142,0.0167,0.0185,0.9426,0.008
ALA-SS170810-01-2892386,0.0139,0.0123,0.0131,0.9516,0.0091
ALA-SS170813-01-2892422,0.06,0.0135,0.0133,0.9039,0.0093
ALA-SS170815-01-2892435,0.0589,0.0118,0.0117,0.9122,0.0055
ALA-SS170815-03-2892473,0.0307,0.0195,0.0195,0.9239,0.0064
ALA-SS170815-04-2892440,0.0368,0.022,0.0214,0.9135,0.0063
ALA-SS170816-01-2892493,0.0111,0.0099,0.0097,0.9609,0.0084
ALA-SS170820-05-2892447,0.0793,0.0235,0.0255,0.8539,0.0178
ALA-SS170822-01-2892494,0.0233,0.0196,0.0203,0.9259,0.0109
ALA-SS170822-02-2892495,0.01,0.0279,0.0267,0.9302,0.0052
ALA-SS170822-03-2892528,0.0366,0.0166,0.0178,0.9252,0.0038
ALA-SS171011-02-2892425,0.0556,0.0184,0.0182,0.8948,0.013
ALA-SS171011-03-2892496,0.0523,0.0177,0.0172,0.9074,0.0054
ALA-SS171018-02-2892517,0.0068,0.0146,0.0146,0.9602,0.0038
ALA-SS171025-01-2892506,0.013,0.0183,0.0165,0.9308,0.0214
ALA-SS171104-01-2892432,0.114,0.0069,0.0071,0.8546,0.0174
ALA-SS171105-01-2892472,0.0123,0.0092,0.0084,0.9667,0.0034
