,0,1,2,3,4
ALA-KLS1549-3593354,0.0185,0.0173,0.0188,0.9386,0.0068
ALA-KLS1555-3593323,0.0085,0.0092,0.0103,0.9644,0.0076
ALA-SS170808-01-2562218,0.0069,0.0074,0.0065,0.9768,0.0024
ALA-SS170808-06-2892529,0.0102,0.0101,0.0541,0.921,0.0046
ALA-SS170809-01-2892375,0.0142,0.015,0.0083,0.9586,0.0039
ALA-SS170809-03-2892475,0.008,0.0083,0.0783,0.8969,0.0085
ALA-SS170810-01-2892386,0.0081,0.008,0.0165,0.9609,0.0065
ALA-SS170813-01-2892422,0.0039,0.0036,0.0366,0.9475,0.0084
ALA-SS170815-01-2892435,0.007,0.0068,0.2302,0.745,0.011
ALA-SS170815-03-2892473,0.0145,0.0146,0.0251,0.9407,0.0051
ALA-SS170815-04-2892440,0.0225,0.0227,0.0208,0.9228,0.0112
ALA-SS170816-01-2892493,0.017,0.0169,0.0247,0.9366,0.0048
ALA-SS170820-05-2892447,0.0254,0.0251,0.0428,0.8952,0.0115
ALA-SS170822-01-2892494,0.0118,0.0117,0.0328,0.9375,0.0062
ALA-SS170822-02-2892495,0.0312,0.0288,0.0065,0.9304,0.0031
ALA-SS170822-03-2892528,0.0157,0.0166,0.0528,0.9085,0.0064
ALA-SS171011-02-2892425,0.0133,0.0132,0.0473,0.917,0.0092
ALA-SS171011-03-2892496,0.0129,0.013,0.1285,0.8245,0.0211
ALA-SS171018-02-2892517,0.0141,0.0138,0.0096,0.959,0.0035
ALA-SS171025-01-2892506,0.0143,0.0141,0.0118,0.9418,0.018
ALA-SS171104-01-2892432,0.0021,0.002,0.064,0.9202,0.0117
ALA-SS171105-01-2892472,0.0114,0.0113,0.0227,0.948,0.0066
ALA-SS171106-02-2892479,0.0024,0.0024,0.1782,0.8015,0.0155
ALA-SS171106-03-2892404,0.0006,0.0006,0.2175,0.777,0.0043
ALA-VU51-2892500,0.004,0.0039,0.0677,0.9081,0.0163
ALA-VU53-2892376,0.004,0.004,0.0417,0.9385,0.0118
ALA-VU62-2892417,0.014,0.0128,0.1552,0.8013,0.0167
ALA-KLS0327-2892561,0.001,0.0009,0.9609,0.0245,0.0127
APO-BD304-2892487,0.0193,0.0183,0.0248,0.934,0.0036
APO-BD320-2892516,0.0088,0.0091,0.0291,0.9459,0.0071
APO-BD325-2892538,0.0084,0.0087,0.0953,0.8731,0.0145
APO-BD326-2892550,0.0037,0.0032,0.0626,0.9086,0.0219
APO-BD330-2892535,0.0045,0.005,0.0112,0.9747,0.0046
APO-BD331-2892519,0.0093,0.0101,0.0223,0.948,0.0103
APO-BD337-2892483,0.0043,0.004,0.0043,0.9842,0.0032
APO-BD338-2892540,0.0097,0.0088,0.0174,0.962,0.0021
APO-BD339-2892520,0.008,0.0082,0.095,0.8859,0.0029
APO-BD342-2892423,0.0131,0.0126,0.0411,0.9284,0.0048
