Species,Region,file,num_seqs_Raw,num_seqs_Trimmed,sum_len_Raw,sum_len_Trimmed
Aipysurus laevis,Broome,ALA-KLS1166-2892541,1390397,1238395,191874786,96769973
Aipysurus laevis,Broome,ALA-KLS1165-2892580,1203061,1100071,166022418,96438545
Aipysurus laevis,Broome,ALA-KLS1121-2892571,1099266,1036635,151698708,94725058
Aipysurus laevis,Broome,ALA-AL401-3991432,1487777,1336783,92838445,86996586
Aipysurus laevis,Dampier Peninsula,ALA-KLS1373-3593328,2242814,2112053,185277524,176854979
Aipysurus laevis,Dampier Peninsula,ALA-KLS1413-3593437,2194652,2068874,183180669,174467896
Aipysurus laevis,Dampier Peninsula,ALA-KLS1415-3593359,2257404,2122780,182278648,174229305
Aipysurus laevis,Dampier Peninsula,ALA-KLS1413-3593365,2252538,2096939,181025855,171870912
Aipysurus laevis,Dampier Peninsula,ALA-KLS1363-3593317,2183625,2039725,178572471,170968058
Aipysurus laevis,Dampier Peninsula,ALA-KLS1366-3593364,2163087,2022715,175971215,168622815
Aipysurus laevis,Dampier Peninsula,ALA-KLS1366-3593436,1994003,1892035,167427668,161087162
Aipysurus laevis,Dampier Peninsula,ALA-KLS1415-3593431,1977118,1877211,168088276,160890405
Aipysurus laevis,Dampier Peninsula,ALA-VU47-2892477,1456372,1331193,200979336,109657513
Aipysurus laevis,Dampier Peninsula,ALA-VU37-2892482,1575258,1375250,217385604,109188763
Aipysurus laevis,Dampier Peninsula,ALA-VU21-2892380,1367206,1256311,188674428,106043802
Aipysurus laevis,Dampier Peninsula,ALA-VU15-2892510,1424417,1249791,196569546,101844277
Aipysurus laevis,Dampier Peninsula,ALA-VU33-2892383,1321249,1208013,182332362,98934681
Aipysurus laevis,Dampier Peninsula,ALA-VU20-2892394,1273012,1183610,175675656,98350244
Aipysurus laevis,Dampier Peninsula,ALA-VU33-2892573,1119872,1058955,154542336,93585397
Aipysurus laevis,Dampier Peninsula,ALA-VU21-2892570,1176464,1061697,162352032,91768593
Aipysurus laevis,Dampier Peninsula,ALA-VU50-2892527,1316782,1135416,181715916,90317423
Aipysurus laevis,Dampier Peninsula,ALA-KLS1387-3593387,2049644,774892,178351351,53257130
Aipysurus laevis,Eighty Mile Beach,ALA-KLS1205-3593357,2258663,2108893,182587936,175181607
Aipysurus laevis,Eighty Mile Beach,ALA-KLS1205-3593429,2049068,1917710,167399028,160807581
Aipysurus laevis,Eighty Mile Beach,ALA-VU51-2892500,1511075,1308859,208528350,106770630
Aipysurus laevis,Eighty Mile Beach,ALA-SS170822-02-2892495,1468227,1307097,202615326,104672549
Aipysurus laevis,Eighty Mile Beach,ALA-SS171011-03-2892496,1408155,1260661,194325390,102042203
Aipysurus laevis,Eighty Mile Beach,ALA-SS170822-01-2892589,1269916,1173317,175248408,100936197
Aipysurus laevis,Eighty Mile Beach,ALA-SS170822-01-2892494,1464887,1287296,202154406,100714253
Aipysurus laevis,Eighty Mile Beach,ALA-VU62-2892417,1365588,1248022,188451144,99641057
Aipysurus laevis,Eighty Mile Beach,ALA-VU53-2892376,1381176,1191606,190602288,96736897
Aipysurus laevis,Eighty Mile Beach,ALA-SS171011-03-2892591,1191489,1101750,164425482,93256741
Aipysurus laevis,Eighty Mile Beach,ALA-SS170822-03-2894754,1321447,1195648,182359686,91794219
Aipysurus laevis,Eighty Mile Beach,ALA-SS170822-03-2892528,1607257,1268420,221801466,88915964
Aipysurus laevis,Eighty Mile Beach,ALA-VU53-2892566,1045270,970608,144247260,83909985
Aipysurus laevis,Eighty Mile Beach,ALA-SS170820-05-2892447,1167675,1025532,161139150,83734516
Aipysurus laevis,Eighty Mile Beach,ALA-SS170822-02-2892590,1141734,991249,157559292,78269953
Aipysurus laevis,Eighty Mile Beach,ALA-SS170822-02-2894775,912524,863691,125928312,76876901
Aipysurus laevis,Exmouth Gulf,ALA-KLS1467-3593390,2234645,2089600,183395903,174979570
Aipysurus laevis,Exmouth Gulf,ALA-KLS1452-3593342,2233786,2071623,182951126,173207138
Aipysurus laevis,Exmouth Gulf,ALA-KLS1453-3593336,2155893,2021666,178491926,171555399
Aipysurus laevis,Exmouth Gulf,ALA-KLS1448-3593341,2249623,2080103,181830560,170474182
Aipysurus laevis,Exmouth Gulf,ALA-KLS1479-3593389,2163691,2024381,175066268,167156456
Aipysurus laevis,Exmouth Gulf,ALA-KLS1474-3593384,2241305,2035653,181027556,165655523
Aipysurus laevis,Exmouth Gulf,ALA-KLS1444-3593398,2269754,2087672,174337994,164854803
Aipysurus laevis,Exmouth Gulf,ALA-KLS1492-3593391,2139157,1996279,171767350,163741248
Aipysurus laevis,Exmouth Gulf,ALA-KLS0796-2892514,1579256,1422644,217937328,115249696
Aipysurus laevis,Exmouth Gulf,ALA-KLS0793-2892513,1556315,1365142,214771470,108763722
Aipysurus laevis,Exmouth Gulf,ALA-KLS0857-2892463,1415160,1261576,195292080,103256162
Aipysurus laevis,Exmouth Gulf,ALA-KLS0797-2892471,1361080,1204328,187829040,96994057
Aipysurus laevis,Exmouth Gulf,ALA-KLS0872-2892526,1407004,1208273,194166552,92937232
