file	format	type	num_seqs	sum_len	min_len	avg_len	max_len
ALA-KLS0797-2892471.fastq.gz	FASTQ	DNA	1204328	96994057	25	80.5	123
ALA-KLS0857-2892463.fastq.gz	FASTQ	DNA	1261576	103256162	25	81.8	123
ALA-KLS0871-2892523.fastq.gz	FASTQ	DNA	1231918	85145808	25	69.1	123
ALA-KLS0872-2892526.fastq.gz	FASTQ	DNA	1208273	92937232	25	76.9	123
ALA-KLS1121-2892381.fastq.gz	FASTQ	DNA	1327178	108407655	25	81.7	123
ALA-KLS1121-2892571.fastq.gz	FASTQ	DNA	1036635	94725058	25	91.4	123
ALA-KLS1140-2892558.fastq.gz	FASTQ	DNA	1195507	103134168	25	86.3	123
ALA-KLS1161-2892441.fastq.gz	FASTQ	DNA	1226134	99328701	25	81.0	123
ALA-KLS1162-2892512.fastq.gz	FASTQ	DNA	1335482	107499873	25	80.5	123
ALA-KLS1163-2892427.fastq.gz	FASTQ	DNA	1310735	108955575	25	83.1	123
ALA-KLS1165-2892485.fastq.gz	FASTQ	DNA	1269899	104637300	25	82.4	123
ALA-KLS1165-2892580.fastq.gz	FASTQ	DNA	1100071	96438545	25	87.7	123
ALA-KLS1165-2894771.fastq.gz	FASTQ	DNA	1086165	99020978	25	91.2	123
ALA-KLS1166-2892541.fastq.gz	FASTQ	DNA	1238395	96769973	25	78.1	123
ALA-KLS1167-2892484.fastq.gz	FASTQ	DNA	1185498	98107760	25	82.8	123
ALA-KLS1167-2892579.fastq.gz	FASTQ	DNA	1149156	101930018	25	88.7	123
ALA-KLS1168-2892413.fastq.gz	FASTQ	DNA	1427030	116193911	25	81.4	123
ALA-KLS1169-2892448.fastq.gz	FASTQ	DNA	1255608	98448171	25	78.4	123
ALA-KLS1170-2892511.fastq.gz	FASTQ	DNA	1242013	100816143	25	81.2	123
ALA-KLS1205-3593357.fastq.gz	FASTQ	DNA	2108893	175181607	25	83.1	126
ALA-KLS1205-3593429.fastq.gz	FASTQ	DNA	1917710	160807581	25	83.9	124
ALA-KLS1363-3593317.fastq.gz	FASTQ	DNA	2039725	170968058	25	83.8	126
ALA-KLS1366-3593364.fastq.gz	FASTQ	DNA	2022715	168622815	25	83.4	126
ALA-KLS1366-3593436.fastq.gz	FASTQ	DNA	1892035	161087162	25	85.1	126
ALA-KLS1373-3593328.fastq.gz	FASTQ	DNA	2112053	176854979	25	83.7	126
ALA-KLS1387-3593387.fastq.gz	FASTQ	DNA	774892	53257130	25	68.7	124
