Species,Region,Sample,reads_raw,reads_sum_len_raw,reads_qc,reads_sum_len_qc,reads_ipyrad,refseq_mapped_reads,refseq_unmapped_reads,clusters_total,clusters_hidepth,hetero_est,error_est,reads_consens,loci_in_assembly
Aipysurus laevis,Ashmore,ALA-Al288-3991297,1422535,82545616,1284692,77398140,864521,602471,262050,63931,21541,0.002163,0.002009,21308,20053
Aipysurus laevis,Ashmore,ALA-Al290-3991298,1492293,93138410,1352540,87846773,956988,666307,290681,73109,23706,0.002119,0.002079,23451,22057
Aipysurus laevis,Ashmore,ALA-Al291-3991299,1638930,89772926,1438987,83219870,931056,656295,274761,55967,20458,0.002479,0.002008,20254,18780
Aipysurus laevis,Ashmore,ALA-Al292-3991300,1582358,94794913,1422765,88632817,987863,659256,328607,62673,22027,0.002259,0.002155,21824,20341
Aipysurus laevis,Ashmore,ALA-Al293-3991301,1640676,87516079,1434769,81038537,902911,686828,216083,53934,20400,0.002704,0.002448,20235,18760
Aipysurus laevis,Ashmore,ALA-Al295-3991302,1577949,89241102,1423027,83756097,932664,665642,267022,59172,21239,0.002344,0.002188,21020,19674
Aipysurus laevis,Ashmore,ALA-Al296-3991303,1523613,87938040,1350768,81800427,908199,594719,313480,48736,18640,0.002265,0.002025,18455,16971
Aipysurus laevis,Ashmore,ALA-Al297-3991304,1635012,92412405,1435564,85597137,945062,645227,299835,57397,20206,0.002393,0.002196,19975,18617
Aipysurus laevis,Ashmore,ALA-Al299-3991305,1409703,88594005,1286124,83548069,920487,644836,275651,68938,22860,0.002291,0.001799,22625,21191
Aipysurus laevis,Ashmore,ALA-Al300-3991306,1622763,80197080,1349481,71715126,784164,611183,172981,39678,19211,0.003359,0.002536,18972,17103
Aipysurus laevis,Ashmore,ALA-Al301-3991307,1439250,90785880,1305989,85454266,933393,677519,255874,66572,22769,0.002221,0.001943,22546,21018
Aipysurus laevis,Ashmore,ALA-Al302-3991308,1508427,86592346,1321337,80188606,885410,577358,308052,57318,19544,0.002383,0.002195,19346,17910
Aipysurus laevis,Ashmore,ALA-Al303-3991309,1526385,92658553,1377782,87149001,960819,722334,238485,68036,23627,0.002323,0.002079,23398,21883
Aipysurus laevis,Ashmore,ALA-Al304-3991310,1503893,85570251,1352556,80244096,895815,673339,222476,66302,22390,0.00225,0.00225,22135,20788
Aipysurus laevis,Ashmore,ALA-Al305-3991311,1582291,88651699,1391179,82118302,908544,689317,219227,56142,21278,0.002686,0.002532,21050,19537
Aipysurus laevis,Ashmore,ALA-Al306-3991312,1412715,90488118,1282807,85430829,930096,653917,276179,71986,22959,0.002156,0.001777,22719,21288
Aipysurus laevis,Ashmore,ALA-Al307-3991313,1515198,91353714,1354238,85592275,948753,688090,260663,64988,22414,0.002358,0.0021,22183,20651
Aipysurus laevis,Ashmore,ALA-Al308-3991314,1458238,92316139,1302986,86123266,940440,655711,284729,61019,20741,0.002266,0.001929,20549,18970
Aipysurus laevis,Ashmore,ALA-Al318-3991315,1535547,85812164,1356447,79527030,888954,671620,217334,50276,19067,0.002469,0.002352,18877,17357
Aipysurus laevis,Ashmore,ALA-Al319-3991316,1586983,94131594,1395946,87225927,963107,656573,306534,58571,20142,0.002442,0.00209,19920,18415
